type, id, name, latitude, longitude
ATM, 310348494, Stopanska banka, 42.0036936, 21.3946845
Bank, 1307183572, Nlb banka, 42.005028, 21.3833142
Bank, 1475404508, Stopanska banka, 42.0073792, 21.3682515
Bank, 1475404523, Nlb banka, 42.0063452, 21.3681939
Bank, 1475404526, Komercijalna banka, 42.0075172, 21.3683899
Bank, 1615760049, Nlb banka, 42.0036469, 21.3970663
ATM, 1615856817, Sparkasse, 42.0031153, 21.3989023
Bank, 2276499906, Komercijalna banka, 41.9947725, 21.4100251
ATM, 2335276909, Sparkasse, 41.9937422, 21.4176189
ATM, 3026549093, Stopanska banka, 42.0030413, 21.4000421
Bank, 3026549094, Komercijalna banka, 42.0028422, 21.4011278
ATM, 3633126812, Stopanska banka, 41.9944722, 21.3959313
ATM, 3633126813, Stopanska banka, 41.9939123, 21.4009084
ATM, 3634182298, Komercijalna banka, 42.0005736, 21.3916984
ATM, 3634182299, Komercijalna banka, 42.0010817, 21.3900585
ATM, 3634182400, Nlb banka, 42.001081, 21.3900911
ATM, 3635130200, Stopanska banka, 42.0010181, 21.3900584
ATM, 3637351595, Nlb banka, 41.9944772, 21.3959333
ATM, 3673575643, Sparkasse, 42.0045813, 21.3925291
Bank, 4144098451, Komercijalna banka, 42.0046642, 21.3909854
ATM, 4169893239, Sparkasse, 41.9939123, 21.4009084
Bank, 4573205007, Halkbank, 42.0034052, 21.3964504
Bank, 4573205016, Sparkasse, 42.0033742, 21.3966968
Bank, 4740732822, Sparkasse, 42.0024666, 21.3975443
Bank, 4742916122, Nlb banka, 41.993632, 21.4109915
Bank, 5333318375, Unibank, 42.0029303, 21.4004646
Bank, 5333318378, Ttk banka, 42.0028742, 21.4008797
Bank, 6054048723, Sparkasse, 41.9993025, 21.4184814
Bank, 6054049799, Silkroad banka, 42.0080679, 21.3687237
Bank, 6815559785, Nlb banka, 41.9995003, 21.4175894
Bank, 580969927, Procredit banka, 42.0074818, 21.3918628
